SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;Fine modulus (m2/kg);Specific gravity;Cement (kg/m3);FA (kg/m3);GGBFS (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg/m3);Na2SiO3 (liquid);NaOH (liquid);Total solution;Na2O (l);SiO2 (l);Superplasticizer;water -eff;Initial curing time (day);Initial curing temp (°C);28-d cubic compressive strength (MPa);Slump (mm)
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;1;60;33,8369;115
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;1;60;28,5498;180
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;1;60;40,4749;84
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;1;60;43,6034;100
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;1;60;31,0894;111
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;1;60;26,7877;154
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;1;60;38,6601;78
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;1;60;44,3791;92
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;1;60;35,2288;107
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;1;60;29,5098;146
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;1;60;55,6193;125
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;1;60;57,3112;136
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;1;60;53,2931;142
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;1;60;51,1782;194
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;1;60;58,8547;102
