Idx_Sample,SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump (mm),CO2 (kg),fc 28-d (MPa)
1527,47.085,18.3,0.45,210,210,1010.9298,765.67018,1776.6,150,17.25,45,16.8,138.63,106,142.63968,60.38
1528,47.085,18.3,0.45,215,215,967.96105,795.03895,1763,153.57143,17.66,46.07,17.2,141.93071,108,145.76754,59.75
1529,47.085,18.3,0.45,220,220,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,109,148.88293,59.23
1530,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18,148.53214,111,152.00743,58.53
1531,52.295,12.58,0.27,252,108,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,115,128.2283,31.11
1532,52.295,12.58,0.27,259,111,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,120,131.50603,30.27
1533,52.295,12.58,0.27,266,114,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,124,134.76841,29.43
1534,52.295,12.58,0.27,273,117,1057.564,775.43599,1833,153.21429,17.62,45.96,15.6,140.66464,129,138.01543,28.6
1535,52.295,12.58,0.27,280,120,1043.045,772.95498,1816,157.14286,18.07,47.14,16,144.27143,133,141.24709,27.77
1536,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,138,144.46338,26.95
1537,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,165,18.98,49.5,16.8,151.485,142,147.68448,26.17
1538,52.295,12.58,0.27,301,129,967.96105,795.03895,1763,168.92857,19.43,50.68,17.2,155.09179,160,150.93246,26.01
1539,52.295,12.58,0.27,308,132,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857,177,154.16795,25.88
1540,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18,162.30536,195,157.41257,25.71
1541,49.69,15.44,0.36,216,144,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429,111,129.9563,46.87
1542,49.69,15.44,0.36,222,148,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107,115,133.28203,46.49
1543,49.69,15.44,0.36,228,152,1070.4551,776.34486,1846.8,149.28571,17.17,44.79,15.2,137.05786,119,136.59241,46.12
1544,49.69,15.44,0.36,234,156,1057.564,775.43599,1833,153.21429,17.62,45.96,15.6,140.66464,123,139.88743,45.75
1545,49.69,15.44,0.36,240,160,1043.045,772.95498,1816,157.14286,18.07,47.14,16,144.27143,127,143.16709,45.38
1546,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821,131,146.43138,45.02
1547,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,165,18.98,49.5,16.8,151.485,135,149.70048,44.67
